Slanost,Temp_zraka,Temp_vode,Crijevni_enterokoki,Escherichia_coli,Suncevo_zracenje_DHMZ GHI,Padaline,KPad0h-24h,KPad25h-48h,KPad49h-72h,KPad3d-4d,KPad4d-7d,KPad7d-14d,KPad14d-30d,AirTemp,AlbedoDaily,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,KPad3d-6d,KPad6d-10d,KPad10d-17d,Kpad17d-21d,Padaline_1d_poslije 
35.31,26,23,0,0,246.07,0,3.9,0.3,0,0,0,8,3.4,23.72372821,0.11,-100.4453171,46.22979849,15.46066206,323.4576854,21.43073586,13.10033205,336.4456513,305.1338946,348.4538635,31.06004849,59.73257892,983.8075933,53.36349463,5.420497204,49.67833031,0,0,8,12.5,0
33.08,29,23,18,27,559.99,0,0,0,0,0,0,3.7,64.1,31.04901119,0.11,-117.3371042,1.151621799,17.74314593,148.6841925,736.2947453,536.4722999,709.535017,757.5729379,853.3510297,25.95061299,45.15804224,977.0900535,114.3570984,0.868020526,43.45875942,0,3.5,0.2,64.4,0
30.41,28,21,15,2,820.82,0,0,0,0,0,0.4,0.5,3.7,30.16370218,0.11,192.6760441,5.005269252,13.47350128,213.7974526,673.474451,554.8893994,769.2934197,879.6815627,797.5559788,20.26612136,35.85414917,975.8351945,242.8050922,2.622461253,34.60059896,0.4,0.5,0,3.7,3.3
34.3,12,17,41,210,357.92,0,0,0,10.4,173.7,34.2,13.4,150.5,9.470133931,0.11,-136.8982173,3.976331108,2.186991429,126.4055285,706.5605724,377.1581061,503.5752793,730.6912696,706.7186649,6.89318003,60.54707952,987.7186772,63.74236368,3.392579806,56.74065546,207.9,0,54.9,109,0
32.6,20,18,1040,1040,126.35,0,42,0.3,0.4,0,2.3,68.9,218.3,17.6279565,0.1,29.87526471,67.30474064,15.8810879,167.1246734,0,0,167.1246734,151.3701708,167.1246734,26.85039793,89.02771127,983.8075933,217.9070196,3.203338649,56.53560265,2.1,7,62.1,231.1,0.2
32.37,19,18,140,520,10.48,0,0.2,42,0.3,0.4,2.1,65,222.4,17.71402685,0.11,-145.5052317,89.95006576,14.72381509,50.31836852,0,0,50.31836852,45.50121225,50.31836852,25.89283087,83.1238892,982.2359604,214.5085145,3.137513615,54.0665585,0.4,5.2,66,218.7,0.1
34.67,22,18,136,140,215.2,0,4.3,0,0.6,0,0,24.7,33.6,20.09425205,0.12,-135.8282555,52.03076576,14.92862545,367.6746654,0,0,474.1680086,333.0133439,367.6993696,27.87286846,72.19846637,975.0005955,131.4041673,0.868020526,35.10102918,0,2,22.7,35.1,0
36.07,23,18.5,0,1,670.74,0,0,0.4,0,0.9,42,6.9,28.5,18,0.12,-114.2323248,3.333450019,9.253022898,194.7652083,704.5451532,558.1465932,752.9090664,650.0711995,895.136214,16.68941104,55.91934604,977.3885524,37.24425113,1.969068388,38.52183916,4.7,42.5,2.6,36.2,0.1
36.12,26,20,1,0,283.6,0,1.4,0,1.1,0,0,1.1,49.8,18,0.12,-112.1421458,76.05528742,10.06908631,212.2065233,0,0,212.2065233,192.5114395,212.2065233,25.28257609,58.93918014,975.4636791,60.39272883,5.790719157,26.49171345,0,0,1.1,49.8,0
34.59,20,21,10,38,158.89,0,37.7,0,0,4.4,29.1,4.3,2.2,17.80338723,0.12,-117.8867804,77.75964195,13.47350128,199.1348381,0,0,197.5449366,178.49478,197.2855497,27.39055265,78.43393343,970.9733159,28.01188524,4.818322401,22.56475555,33.5,2.6,2.8,5.8,0.2
